"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2DC7FYMT","journalArticle","2023","Singhal, Karan; Azizi, Shekoofeh; Tu, Tao; Mahdavi, S. Sara; Wei, Jason; Chung, Hyung Won; Scales, Nathan; Tanwani, Ajay; Cole-Lewis, Heather; Pfohl, Stephen; Payne, Perry; Seneviratne, Martin; Gamble, Paul; Kelly, Chris; Babiker, Abubakr; Schärli, Nathanael; Chowdhery, Aakanksha; Mansfield, Philip; Demner-Fushman, Dina; Agüera Y Arcas, Blaise; Webster, Dale; Corrado, Greg S.; Matias, Yossi; Chou, Katherine; Gottweis, Juraj; Tomasev, Nenad; Liu, Yun; Rajkomar, Alvin; Barral, Joelle; Semturs, Christopher; Karthikesalingam, Alan; Natarajan, Vivek","Large language models encode clinical knowledge","Nature","","0028-0836, 1476-4687","10.1038/s41586-023-06291-2","https://www.nature.com/articles/s41586-023-06291-2","Abstract                            Large language models (LLMs) have demonstrated impressive capabilities, but the bar for clinical applications is high. Attempts to assess the clinical knowledge of models typically rely on automated evaluations based on limited benchmarks. Here, to address these limitations, we present MultiMedQA, a benchmark combining six existing medical question answering datasets spanning professional medicine, research and consumer queries and a new dataset of medical questions searched online, HealthSearchQA. We propose a human evaluation framework for model answers along multiple axes including factuality, comprehension, reasoning, possible harm and bias. In addition, we evaluate Pathways Language Model               1               (PaLM, a 540-billion parameter LLM) and its instruction-tuned variant, Flan-PaLM               2               on MultiMedQA. Using a combination of prompting strategies, Flan-PaLM achieves state-of-the-art accuracy on every MultiMedQA multiple-choice dataset (MedQA               3               , MedMCQA               4               , PubMedQA               5               and Measuring Massive Multitask Language Understanding (MMLU) clinical topics               6               ), including 67.6% accuracy on MedQA (US Medical Licensing Exam-style questions), surpassing the prior state of the art by more than 17%. However, human evaluation reveals key gaps. To resolve this, we introduce instruction prompt tuning, a parameter-efficient approach for aligning LLMs to new domains using a few exemplars. The resulting model, Med-PaLM, performs encouragingly, but remains inferior to clinicians. We show that comprehension, knowledge recall and reasoning improve with model scale and instruction prompt tuning, suggesting the potential utility of LLMs in medicine. Our human evaluations reveal limitations of today’s models, reinforcing the importance of both evaluation frameworks and method development in creating safe, helpful LLMs for clinical applications.","2023-08-03","2025-11-21 08:08:19","2025-11-21 08:08:19","2025-11-21 08:08:19","172-180","","7972","620","","Nature","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/rreider/Zotero/storage/M4PVB87S/Singhal et al. - 2023 - Large language models encode clinical knowledge.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EA38B55U","journalArticle","2023","Ahmed, Shams Forruque; Alam, Md. Sakib Bin; Hassan, Maruf; Rozbu, Mahtabin Rodela; Ishtiak, Taoseef; Rafa, Nazifa; Mofijur, M.; Shawkat Ali, A. B. M.; Gandomi, Amir H.","Deep learning modelling techniques: current progress, applications, advantages, and challenges","Artificial Intelligence Review","","0269-2821, 1573-7462","10.1007/s10462-023-10466-8","https://link.springer.com/10.1007/s10462-023-10466-8","Abstract             Deep learning (DL) is revolutionizing evidence-based decision-making techniques that can be applied across various sectors. Specifically, it possesses the ability to utilize two or more levels of non-linear feature transformation of the given data via representation learning in order to overcome limitations posed by large datasets. As a multidisciplinary field that is still in its nascent phase, articles that survey DL architectures encompassing the full scope of the field are rather limited. Thus, this paper comprehensively reviews the state-of-art DL modelling techniques and provides insights into their advantages and challenges. It was found that many of the models exhibit a highly domain-specific efficiency and could be trained by two or more methods. However, training DL models can be very time-consuming, expensive, and requires huge samples for better accuracy. Since DL is also susceptible to deception and misclassification and tends to get stuck on local minima, improved optimization of parameters is required to create more robust models. Regardless, DL has already been leading to groundbreaking results in the healthcare, education, security, commercial, industrial, as well as government sectors. Some models, like the convolutional neural network (CNN), generative adversarial networks (GAN), recurrent neural network (RNN), recursive neural networks, and autoencoders, are frequently used, while the potential of other models remains widely unexplored. Pertinently, hybrid conventional DL architectures have the capacity to overcome the challenges experienced by conventional models. Considering that capsule architectures may dominate future DL models, this work aimed to compile information for stakeholders involved in the development and use of DL models in the contemporary world.","2023-11","2025-11-21 08:08:21","2025-11-21 08:08:21","2025-11-21 08:08:21","13521-13617","","11","56","","Artif Intell Rev","Deep learning modelling techniques","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/rreider/Zotero/storage/ZJAGGZRQ/Ahmed et al. - 2023 - Deep learning modelling techniques current progress, applications, advantages, and challenges.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R6F6Q7ZX","journalArticle","2023","Ding, Ning; Qin, Yujia; Yang, Guang; Wei, Fuchao; Yang, Zonghan; Su, Yusheng; Hu, Shengding; Chen, Yulin; Chan, Chi-Min; Chen, Weize; Yi, Jing; Zhao, Weilin; Wang, Xiaozhi; Liu, Zhiyuan; Zheng, Hai-Tao; Chen, Jianfei; Liu, Yang; Tang, Jie; Li, Juanzi; Sun, Maosong","Parameter-efficient fine-tuning of large-scale pre-trained language models","Nature Machine Intelligence","","2522-5839","10.1038/s42256-023-00626-4","https://www.nature.com/articles/s42256-023-00626-4","Abstract             With the prevalence of pre-trained language models (PLMs) and the pre-training–fine-tuning paradigm, it has been continuously shown that larger models tend to yield better performance. However, as PLMs scale up, fine-tuning and storing all the parameters is prohibitively costly and eventually becomes practically infeasible. This necessitates a new branch of research focusing on the parameter-efficient adaptation of PLMs, which optimizes a small portion of the model parameters while keeping the rest fixed, drastically cutting down computation and storage costs. In general, it demonstrates that large-scale models could be effectively stimulated by the optimization of a few parameters. Despite the various designs, here we discuss and analyse the approaches under a more consistent and accessible term ‘delta-tuning’, where ‘delta’ a mathematical notation often used to denote changes, is borrowed to refer to the portion of parameters that are ‘changed’ during training. We formally describe the problem and propose a unified categorization criterion for existing delta-tuning methods to explore their correlations and differences. We also discuss the theoretical principles underlying the effectiveness of delta-tuning and interpret them from the perspectives of optimization and optimal control. Furthermore, we provide a holistic empirical study on over 100 natural language processing tasks and investigate various aspects of delta-tuning. With comprehensive study and analysis, our research demonstrates the theoretical and practical properties of delta-tuning in the adaptation of PLMs.","2023-03-02","2025-11-21 08:08:22","2025-11-21 08:08:22","2025-11-21 08:08:22","220-235","","3","5","","Nat Mach Intell","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/rreider/Zotero/storage/ZP8DILSF/Ding et al. - 2023 - Parameter-efficient fine-tuning of large-scale pre-trained language models.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73ECVK5F","journalArticle","2022","Zhou, Taotao; Han, Te; Droguett, Enrique Lopez","Towards trustworthy machine fault diagnosis: A probabilistic Bayesian deep learning framework","Reliability Engineering & System Safety","","09518320","10.1016/j.ress.2022.108525","https://linkinghub.elsevier.com/retrieve/pii/S095183202200179X","","2022-08","2025-11-21 08:08:23","2025-11-21 08:08:23","2025-11-21 08:08:23","108525","","","224","","Reliability Engineering & System Safety","Towards trustworthy machine fault diagnosis","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KPNHWZRB","journalArticle","2023","Meng, Huixing; Geng, Mengyao; Han, Te","Long short-term memory network with Bayesian optimization for health prognostics of lithium-ion batteries based on partial incremental capacity analysis","Reliability Engineering & System Safety","","09518320","10.1016/j.ress.2023.109288","https://linkinghub.elsevier.com/retrieve/pii/S095183202300203X","","2023-08","2025-11-21 08:08:24","2025-11-21 08:08:24","2025-11-21 08:08:24","109288","","","236","","Reliability Engineering & System Safety","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87IVYG2T","journalArticle","2023","Wang, Fujin; Zhao, Zhibin; Zhai, Zhi; Shang, Zuogang; Yan, Ruqiang; Chen, Xuefeng","Explainability-driven model improvement for SOH estimation of lithium-ion battery","Reliability Engineering & System Safety","","09518320","10.1016/j.ress.2022.109046","https://linkinghub.elsevier.com/retrieve/pii/S0951832022006615","","2023-04","2025-11-21 08:08:24","2025-11-21 08:08:24","2025-11-21 08:08:24","109046","","","232","","Reliability Engineering & System Safety","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A8GI8HUZ","journalArticle","2024","Li, Sai; Peng, Yanfeng; Shen, Yiping; Zhao, Sibo; Shao, Haidong; Bin, Guangfu; Guo, Yong; Yang, Xingkai; Fan, Chao","Rolling Bearing Fault Diagnosis Under Data Imbalance and Variable Speed Based on Adaptive Clustering Weighted Oversampling","Reliability Engineering & System Safety","","09518320","10.1016/j.ress.2024.109938","https://linkinghub.elsevier.com/retrieve/pii/S0951832024000139","","2024-04","2025-11-21 08:08:25","2025-11-21 08:08:25","2025-11-21 08:08:25","109938","","","244","","Reliability Engineering & System Safety","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RTN4PZPX","journalArticle","2024","Han, Te; Tian, Jinpeng; Chung, C.Y.; Wei, Yi-Ming","Challenges and opportunities for battery health estimation: Bridging laboratory research and real-world applications","Journal of Energy Chemistry","","20954956","10.1016/j.jechem.2023.10.032","https://linkinghub.elsevier.com/retrieve/pii/S2095495623006022","","2024-02","2025-11-21 08:08:25","2025-11-21 08:08:25","2025-11-21 08:08:25","434-436","","","89","","Journal of Energy Chemistry","Challenges and opportunities for battery health estimation","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8NIZU67J","journalArticle","2023","Pietrzak, Przemyslaw; Wolkiewicz, Marcin; Orlowska-Kowalska, Teresa","PMSM Stator Winding Fault Detection and Classification Based on Bispectrum Analysis and Convolutional Neural Network","IEEE Transactions on Industrial Electronics","","0278-0046, 1557-9948","10.1109/TIE.2022.3189076","https://ieeexplore.ieee.org/document/9829204/","","2023-05","2025-11-21 08:08:26","2025-11-21 08:08:26","2025-11-21 08:08:26","5192-5202","","5","70","","IEEE Trans. Ind. Electron.","","","","","","","","","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KDQMV4BR","journalArticle","2024","Fu, Zhaoyang; Liu, Zheng; Ping, Shuangrui; Li, Weilin; Liu, Jinglin","TRA-ACGAN: A motor bearing fault diagnosis model based on an auxiliary classifier generative adversarial network and transformer network","ISA Transactions","","00190578","10.1016/j.isatra.2024.03.033","https://linkinghub.elsevier.com/retrieve/pii/S0019057824001411","","2024-06","2025-11-21 08:08:26","2025-11-21 08:08:26","2025-11-21 08:08:26","381-393","","","149","","ISA Transactions","TRA-ACGAN","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
